ID,Topics
CVE-2002-0392,"memory, denial of service, availability, elevation of privilege, code execution, insufficient testing"
CVE-2002-0661,"path traversal, input validation, bypassing restrictions, confidentiality, linux, insufficient testing"
CVE-2002-0840,"XSS, input validation, sessions, code injection, javascript, cookies"
CVE-2002-1156,"confidentiality, design mistake"
CVE-2002-1593,"pointers, memory, bounds checking, denial of service, availability"
CVE-2003-0020,"input validation, code injection"
CVE-2003-0083,"input validation, requirements"
CVE-2003-0253,"threads, C, IPC, denial of service, availability, multiprocessing, edge cases, requirements"
CVE-2004-0113,"SSL, cryptography, insufficient testing, memory, confidentiality, denial of service, availability"
CVE-2004-0174,"race conditions, IPC"
CVE-2004-0488,"buffer overflow, code execution, SSL, cryptography, bounds checking, memory, design mistake"
CVE-2004-0493,"denial of service, memory, confidentiality, design mistake"
CVE-2004-0747,"input validation, buffer overflow, memory, elevation of privilege, bounds checking, environment variables, miscommunication"
CVE-2004-0751,"buffer overflow, SSL, cryptography, memory, bounds echking, denial of service, availability, code execution"
CVE-2004-0809,"memory, denial of service, availability, bounds checking, design mistake"
CVE-2004-0811,"authentication, bypassing restrictions"
CVE-2004-0885,"bypassing restrictions, SSL, cryptography"
CVE-2004-0942,"memory, resource exhaustion, denial of service, availability"
CVE-2004-1834,"confidentiality, memory, authentication, cache"
CVE-2005-1268,"SSL, cryptography, buffer overflow, memory, integrity, denial of service, availability"
CVE-2005-2088,"proxies, HTTP requests, XSS, design mistake, miscommunication"
CVE-2005-2700,"SSL, cryptography, configuration, design mistake"
CVE-2005-2728,"denial of service, availability, buffer overflow, memory, resource exhaustion, confidentiality"
CVE-2005-2970,"multiprocessing, insufficient testing, threads, resource exhaustion, denial of service, availability"
CVE-2005-3352,"XSS, design mistake, input validation, cookies"
CVE-2005-3357,"SSL, cryptography, denial of service, availability, pointers, memory, bounds checking"
CVE-2006-3747,"denial of service, availability, buffer overflow, memory, integrity, protocols, bounds checking"
CVE-2006-5752,"code injection, character encodings"
CVE-2007-1862,"memory, confidentiality, insufficient testing"
CVE-2007-3847,"linux, denial of service, threads, buffer overflow, availability, memory, confidentiality, multiprocessing"
CVE-2007-5000,"code injection, HTML, javascript, integrity, images, complex inputs, XSS"
CVE-2007-6388,"XSS, code injection, input validation"
