ID,Description
CVE-2013-6665,heap based buffer overflow chrome resource provider google chrome handles bitmap textures vulnerability allows remote attackers cause denial service possibly unspecified impact via large bitmap texture size triggers improper memory allocation software renderer fix vulnerability place hard limit number bytes allocated specific situation regardless different kinds hardware vulnerabliity pretty simple oversight terms limiting resource constraints code would handled massive amounts memory allocation differently different pieces hardware leading buffer overflow situations think early way fixed hardcode reasonable limit code use magic number without constant still seems fishy good considered situation rectified interestingly trust fuzzer initially
CVE-2017-5093,ui spoofing blink browser engine used google chrome browser vulnerability makes possible display popup dialog front fullscreen permission dialog making impossible user know entered fullscreen mode enabling attacker subvert true identity url opinion coding design mistakes due overlooking potential use incorrectly validated inputs manipulate modals fullscreen feature fix looks proper involved additional tests deletion previous code additional checks input validation exiting web page initiated fullscreen dialog runs interesting even developers top tech companies overlook validating input serves prime example always make sure validate input may violate users confidentality
CVE-2017-5107,user information leak via svg rendering feconvolvematrix svg filter target iframe timing execution attacking page extract pixel values cross origin page iframe
CVE-2017-5060,url spoofing omnibox certain cyrillic characters look incredibly similar standard roman alphabet characters much certain fonts distinguish two registering domain punycode escape sequences causes characters display browser
CVE-2014-1748,scrollbar rectangles images properly clipped parent document interacted owning viewport non limiting effect allowed chiled documents draw cover respective parent documents passing extremely large dimensions scrollbar elements attacker could use creating transparent child document covered parent could allow attacker spoof content cause user click malicious links main mistake made less mistake oversight vulnerability introduced scrollview paint needed clipped visible content visiblecontentrect never checked scrollbar also clipped well leading inconsistency two parts feature likely missed due issue extremely large dimensions specified elements unclear big must trigger vulnerability originally test would probably needed manual possibly fuzzer investigation tests added specifically check issue code fixed order prevent issue popping fix appears proper fix scrollbar properly clipped size rect mentioned
CVE-2015-1296,could place special unicode characters url padlock character would displayed beginning url which could fool user thinking secure connection https attackers could post links anywhere web include special characters people click see padlock icon think safe padlock icon verifies server fact claim go facebook com see padlock verifies third party impersonating facebook could hide hyperlink characters appear link visible user click web browser would copy omnibox display padlock character omnibox address bar chrome call omnibox internally issue happened requirements phase considered complex unicode inputs people could use attempt spoof urls order type vulnerability caught would needed someone familiar unicode team person would know padlock character know rtl characters used move characters appear beginning string throughout development one must thought attack like really complex input understandable never considered originally though remove unicode characters though people speak languages whose alphabet fit ascii need able search things omnibox
CVE-2016-5157,heap buffer overflow bounds write vulnerability found openjpeg which used pdfium google chrome would allow remote attacker arbitrarily execute code user machine inspecting code seemed vulnerability due casting arguments method VERVER byte integer which could possibly cause integer exceed boundaries openjpeg open source library used display jpeg images dependency pdfium which open source library which google maintains used display pdf files google chrome bug openjpeg brought forth developer open source library attempting close another heap buffer overflow bug think vulnerability could stopped tracks unit tests section code unit tests openjpeg coding mistake lead vulnerability developer implemented section code thought possibility overflow next commit provided checks ensure overflow happen variables assigned think possibility casting variables could possibly cause overflow later vulernability introduced developer attempting fix another overflow bug which also casting seems like oversight developer think recheck output variables
CVE-2015-6583,google chrome browser display location bar hosted apps navigate away installation site example install app google chrome web store launch app open new window location bar would disappear may make easier remote attackers spoof content via specially crafted app therefore allow attacker perform phishing attack steal user credentials vulnerability appears introduced due coding design mistake coding design mistake made location bar properly handled navigating away new window also may requirements issue well due way hosted app initially defined bookmark app fix changed browser handled visibility location bar hosted app treated system fix corrects unexpected behavior location bar disappearing validates hosted app trusted
CVE-2016-1645,attackers could write metadata image information makes image way read certain programs tools potential create denial service attacks which would crash applications machines google used library interpret render images inside pdf viewing addition getting metadata things like image tags describing photos alt text screen readers accessibility settings crash caused incorrectly converting integers types negative positive would result integer signdness errors errors could lead bounds index writing attacker could inject execute code supposed able number casting errors which could violate integrity data vulnerability problem potential affect availability systems integrity data solution upgrade r3002 openjpeg which based intuition reasoning added checks data ensure run combination design mistakes coding mistakes either laziness constraints first team account buffer overflows originally coded method could avoided input sanitization checking input handle potential bounds problems top failing handle problem originally write unit tests attempt catch problem happened possible even unit testing could caught tests written period vcc fix 4 5 commits vcc fix which would make seem like writing test cases would good idea many others failed fix previously team set method way validated inputs properly handled expected buffer overflows problem might avoided start sure difficulties though appears openjpeg library chromium uses necessarily testing intending use things google eventually utilized
CVE-2013-6657,code used check possible xss attacks replaced blocked form elements blank internal page remote attackers could take advantage bypass origin policy instead force sensitive data submitted blank page checking character character which requests got blocked determine data value brute force mistake made likely case able anticipate every possible vulnerability multiple commits stating usage internal blank page safe ie vulnerable xss span several years different people perhaps familiarity specific implementation page could prevented ultimately developers learn everything everything nothing would get done code reviews different people may help
